"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_MEAN","BILL_MEAN","PAY_AMT_MEAN","PAY_DIFF","default.payment.next.month"
20000,2,2,1,24,0,1540.8,137.8,1540.8,1
120000,2,2,2,26,0.2,2763.2,600,2763,1
90000,2,2,2,34,0,17220.8,1203.6,17220.8,0
50000,2,2,1,37,0,40357.4,1477.6,40357.4,0
50000,1,1,2,37,0,43618,1394.4,43618,0
100000,2,2,2,23,-0.4,2583.8,649.8,2584.2,0
140000,2,3,1,28,0.4,12298.6,1152.2,12298.2,0
20000,1,3,2,35,-1.8,2601.4,2825.8,2603.2,0
200000,2,3,2,34,0.4,6147.2,1281.2,6146.8,0
630000,2,2,2,41,-0.8,7627.4,4674,7628.2,0
70000,1,2,2,30,1,60358.2,2140,60357.2,1
250000,1,1,2,29,0,63615.8,3000,63615.8,0
50000,2,3,3,23,0.6,33241,1020,33240.4,0
20000,1,1,2,24,1.2,17411.4,1270,17410.2,1
360000,2,1,1,49,-1.4,0,0,1.4,0
180000,2,1,2,29,-1.4,0,0,1.4,0
130000,2,3,2,39,0,24590.6,1693.4,24590.6,0
120000,2,2,1,39,-1,316,316,317,1
70000,2,2,2,26,1.2,43892.6,1838,43891.4,1
450000,2,1,1,40,-2,5393,4292.2,5395,1
90000,1,1,2,23,-0.2,4714.4,2880,4714.6,0
50000,1,3,2,23,0,36849.8,1378.8,36849.8,0
60000,1,1,2,27,-0.8,-41,300,-40.2,1
50000,2,3,2,30,0,18530.2,1220,18530.2,0
50000,2,3,1,47,-1,7990.2,7913.4,7991.2,0
50000,1,1,2,26,0,17136.4,1320,17136.4,0
50000,1,2,2,33,0.4,25637.8,1243.6,25637.4,1
100000,1,1,2,32,0,83929.6,3248,83929.6,0
500000,1,1,1,58,-2,10605,8931.4,10607,0
160000,1,1,2,30,-1.6,5439.2,456,5440.8,0
50000,1,1,2,25,-1,156,156,157,1
280000,1,1,2,31,-0.2,8433.2,7315.2,8433.4,0
70000,2,1,2,25,0,65377.2,3368.4,65377.2,0
10000,1,2,2,22,0,3662,1345.4,3662,0
140000,2,2,1,37,0,63066.4,3400,63066.4,0
40000,2,1,2,30,0.4,23597.6,2600,23597.2,0
210000,1,1,2,29,-2,0,0,2,1
20000,2,1,2,22,0.2,15865.6,4015,15865.4,1
150000,2,5,2,46,-0.2,1967.4,436.6,1967.6,1
20000,1,1,2,24,0,19149.4,1035.4,19149.4,0
70000,1,3,2,42,1.8,37930,1320,37928.2,1
100000,2,3,3,43,0,46385.4,1721.2,46385.4,0
310000,2,2,1,49,-2,8732.2,6133.6,8734.2,0
180000,2,1,2,25,0.6,42766.4,1724.8,42765.8,0
150000,2,1,2,29,0.4,32042.2,1573.4,32041.8,0
500000,2,1,1,45,-2,1171.6,1296.6,1173.6,0
180000,2,3,1,34,-0.4,9416.6,5435.8,9417,0
200000,2,1,2,34,1.6,1066.6,380,1065,0
500000,2,3,1,28,0,18825.6,1363.2,18825.6,1
70000,1,2,1,39,0,48682.4,2424,48682.4,0
50000,1,1,2,29,2,25882,1225,25880,1
50000,2,2,1,46,-0.8,11576.8,200,11577.6,1
130000,2,2,1,51,-1.4,490.4,470.6,491.8,0
200000,1,1,1,57,-1,92343.6,1704.4,92344.6,1
10000,1,2,1,56,1.2,3705.2,570,3704,1
210000,2,1,2,30,-0.4,867.8,1657.8,868.2,0
130000,2,3,2,29,-0.4,116.4,5496,116.8,0
